,Address,Coordinates
0,309 ANG MO KIO AVE 1,
1,216 ANG MO KIO AVE 1,"('1.36619678831054', '103.841505011903')"
2,211 ANG MO KIO AVE 3,"('1.369196965617', '103.841666636086')"
3,202 ANG MO KIO AVE 3,"('1.36845752328237', '103.844515336938')"
4,235 ANG MO KIO AVE 3,"('1.36682360708102', '103.83649123895')"
5,232 ANG MO KIO AVE 3,"('1.36834606813391', '103.837196046409')"
6,308 ANG MO KIO AVE 1,"('1.36569665029696', '103.844347269095')"
7,220 ANG MO KIO AVE 1,"('1.36558833593063', '103.840518883254')"
8,219 ANG MO KIO AVE 1,"('1.36598198004505', '103.840654039612')"
9,247 ANG MO KIO AVE 3,
10,320 ANG MO KIO AVE 1,"('1.3655924562134', '103.848386744168')"
11,252 ANG MO KIO AVE 4,
12,223 ANG MO KIO AVE 1,"('1.36604808445916', '103.838122716883')"
13,230 ANG MO KIO AVE 3,"('1.36875041500147', '103.837993360863')"
14,329 ANG MO KIO AVE 3,"('1.3665990830055', '103.846874423696')"
15,313 ANG MO KIO AVE 3,"('1.36664972640598', '103.850133665442')"
16,117 ANG MO KIO AVE 4,"('1.3737170825368', '103.835610469339')"
17,110 ANG MO KIO AVE 4,"('1.37045937010888', '103.837419259859')"
18,343 ANG MO KIO AVE 3,"('1.36837475142719', '103.849151106677')"
19,345 ANG MO KIO AVE 3,"('1.36748702509964', '103.849651723914')"
20,346 ANG MO KIO AVE 3,"('1.36709586875167', '103.84966230288')"
21,121 ANG MO KIO AVE 3,"('1.36970226464475', '103.84343759746')"
22,129 ANG MO KIO AVE 3,"('1.36989498895756', '103.842059049722')"
23,130 ANG MO KIO AVE 3,"('1.37039791675237', '103.841878840032')"
24,128 ANG MO KIO AVE 3,"('1.37083202800001', '103.843546990613')"
25,127 ANG MO KIO AVE 3,"('1.37122322102767', '103.843593321222')"
26,126 ANG MO KIO AVE 3,"('1.37164990020956', '103.843644176374')"
27,403 ANG MO KIO AVE 10,"('1.36126901451361', '103.854642365822')"
28,404 ANG MO KIO AVE 10,"('1.36167767060852', '103.854726492538')"
29,405 ANG MO KIO AVE 10,"('1.36157912717139', '103.853805386957')"
30,417 ANG MO KIO AVE 10,"('1.36495953274783', '103.855197097728')"
31,418 ANG MO KIO AVE 10,"('1.3649460137791', '103.854043379775')"
32,419 ANG MO KIO AVE 10,"('1.36534669720177', '103.85415182597')"
33,441 ANG MO KIO AVE 10,"('1.36605027829032', '103.854168309853')"
34,442 ANG MO KIO AVE 10,"('1.36569241524537', '103.855097870221')"
35,443 ANG MO KIO AVE 10,"('1.36604388871674', '103.855368968681')"
36,444 ANG MO KIO AVE 10,"('1.36660045321147', '103.855578790668')"
37,450 ANG MO KIO AVE 10,"('1.36848406233048', '103.855468149019')"
38,435 ANG MO KIO AVE 10,"('1.36770367670019', '103.854214321442')"
39,433 ANG MO KIO AVE 10,"('1.36807652285135', '103.854353042615')"
40,434 ANG MO KIO AVE 10,"('1.3678915069194', '103.85345502653')"
41,424 ANG MO KIO AVE 3,"('1.36860660305158', '103.850808805402')"
42,425 ANG MO KIO AVE 3,"('1.36912241721255', '103.851616057064')"
43,466 ANG MO KIO AVE 10,"('1.36581960620891', '103.857061597256')"
44,471 ANG MO KIO AVE 10,"('1.36346600647245', '103.856702918462')"
45,474 ANG MO KIO AVE 10,"('1.36275784702216', '103.858015323667')"
46,570 ANG MO KIO AVE 3,"('1.3697435855576', '103.856023138277')"
47,586 ANG MO KIO AVE 3,"('1.37030352965928', '103.853455898206')"
48,455 ANG MO KIO AVE 10,
49,465 ANG MO KIO AVE 10,"('1.3662010408294', '103.857200967235')"
50,463 ANG MO KIO AVE 10,"('1.36694793518613', '103.857487648675')"
51,564 ANG MO KIO AVE 3,"('1.36984837555524', '103.859404131956')"
52,560 ANG MO KIO AVE 10,"('1.37081626777721', '103.859192334256')"
53,558 ANG MO KIO AVE 10,"('1.37123613284274', '103.859192016193')"
54,559 ANG MO KIO AVE 10,"('1.37099810674697', '103.857856391877')"
55,538 ANG MO KIO AVE 5,"('1.37559336678106', '103.853347801104')"
56,534 ANG MO KIO AVE 10,"('1.37405846295585', '103.854168170426')"
57,601 ANG MO KIO AVE 5,"('1.38104134784496', '103.835131744823')"
58,603 ANG MO KIO AVE 5,"('1.38020079047279', '103.83575571651')"
59,604 ANG MO KIO AVE 5,"('1.37986658053966', '103.835976650638')"
60,608 ANG MO KIO AVE 5,"('1.37858209980487', '103.836760311526')"
61,611 ANG MO KIO AVE 5,"('1.37829205312001', '103.837251895809')"
62,505 ANG MO KIO AVE 8,"('1.3748597302123', '103.850224901404')"
63,503 ANG MO KIO AVE 5,"('1.37546163119278', '103.848942047568')"
64,610 ANG MO KIO AVE 4,"('1.37939470300077', '103.839157232686')"
65,607 ANG MO KIO AVE 4,"('1.38046758670091', '103.838816721629')"
66,524 ANG MO KIO AVE 5,"('1.37337447451646', '103.853040148505')"
67,513 ANG MO KIO AVE 8,"('1.37273696913231', '103.850194854525')"
68,643 ANG MO KIO AVE 5,"('1.3775062692911', '103.840557182306')"
69,542 ANG MO KIO AVE 10,"('1.37473841331656', '103.855876768354')"
70,548 ANG MO KIO AVE 10,"('1.37291376311161', '103.85704609864')"
71,550 ANG MO KIO AVE 10,"('1.37360769512088', '103.85820494173')"
72,639 ANG MO KIO AVE 6,"('1.37993407100545', '103.84246297225')"
73,637 ANG MO KIO AVE 6,"('1.38036187235317', '103.842334616577')"
74,330 ANG MO KIO AVE 1,"('1.36243186402478', '103.851030689651')"
75,333 ANG MO KIO AVE 1,"('1.3613425564061', '103.851698621454')"
76,156 ANG MO KIO AVE 4,"('1.37549519574964', '103.839947470774')"
77,152 ANG MO KIO AVE 5,"('1.3766876256746', '103.840159506601')"
78,178 ANG MO KIO AVE 4,"('1.37619319942083', '103.837038191014')"
79,180 ANG MO KIO AVE 5,"('1.37667706463381', '103.838361037555')"
80,209 ANG MO KIO AVE 3,"('1.36897079641509', '103.843284524871')"
81,231 ANG MO KIO AVE 3,"('1.36856103572357', '103.837525234344')"
82,254 ANG MO KIO AVE 4,"('1.37020344042146', '103.834687722549')"
83,103 ANG MO KIO AVE 3,"('1.37101657804604', '103.839304839187')"
84,105 ANG MO KIO AVE 4,"('1.37231328287072', '103.837601112788')"
85,344 ANG MO KIO AVE 3,"('1.36797705108684', '103.849264839398')"
86,324 ANG MO KIO AVE 3,"('1.36833392201705', '103.846879231399')"
87,120 ANG MO KIO AVE 3,"('1.37004739686133', '103.844594754874')"
88,124 ANG MO KIO AVE 6,"('1.37088839089522', '103.844764527974')"
89,414 ANG MO KIO AVE 10,"('1.36390466431674', '103.853913839503')"
90,438 ANG MO KIO AVE 10,"('1.3669708169506', '103.853906591778')"
91,427 ANG MO KIO AVE 3,"('1.36931185924705', '103.854550605629')"
92,428 ANG MO KIO AVE 3,"('1.36893906457102', '103.854412288513')"
93,473 ANG MO KIO AVE 10,"('1.36305380914637', '103.856846002568')"
94,573 ANG MO KIO AVE 3,"('1.37056143999067', '103.854823102785')"
95,585 ANG MO KIO AVE 3,"('1.37059756050933', '103.852367040901')"
96,456 ANG MO KIO AVE 10,"('1.36716071992678', '103.858658520644')"
97,544 ANG MO KIO AVE 10,"('1.37395961943023', '103.856471368511')"
98,640 ANG MO KIO AVE 6,"('1.38003436037009', '103.843606664405')"
99,638 ANG MO KIO AVE 6,"('1.38047559647224', '103.843567764408')"
100,646 ANG MO KIO AVE 6,"('1.37939517687868', '103.843763599411')"
101,150 ANG MO KIO AVE 5,"('1.37680678506745', '103.842017962576')"
102,179 ANG MO KIO AVE 5,"('1.37690418077298', '103.836218103538')"
103,336 ANG MO KIO AVE 1,"('1.3635938468353', '103.851784409615')"
104,335 ANG MO KIO AVE 1,"('1.36320996798464', '103.850690597254')"
105,401 ANG MO KIO AVE 10,"('1.36101765642805', '103.855387562453')"
106,439 ANG MO KIO AVE 10,"('1.36629197864802', '103.85349630883')"
107,430 ANG MO KIO AVE 3,"('1.36899287777802', '103.85276134968')"
108,460 ANG MO KIO AVE 10,"('1.36633947709831', '103.859122319513')"
109,459 ANG MO KIO AVE 10,"('1.36701964480661', '103.859377190201')"
110,716 ANG MO KIO AVE 6,"('1.37147783065153', '103.845868750998')"
111,545 ANG MO KIO AVE 10,"('1.37317921904936', '103.856294541429')"
112,620 ANG MO KIO AVE 9,"('1.38244082944044', '103.839546376827')"
113,622 ANG MO KIO AVE 9,"('1.382064341745', '103.839741864292')"
114,259 ANG MO KIO AVE 2,"('1.36858148248531', '103.831557777899')"
115,101 ANG MO KIO AVE 3,"('1.37026158388486', '103.839467898898')"
116,620 BEDOK RESERVOIR RD,"('1.33433431952628', '103.917712569623')"
117,534 BEDOK NTH ST 3,"('1.33304293942699', '103.924774154974')"
118,18 BEDOK STH RD,"('1.32043932800483', '103.934781862165')"
119,28 NEW UPP CHANGI RD,"('1.32370531661721', '103.934992763383')"
120,29 NEW UPP CHANGI RD,"('1.32395813360222', '103.936341250384')"
121,30 NEW UPP CHANGI RD,"('1.32352678248226', '103.936423896498')"
122,75 BEDOK NTH RD,"('1.32791477933184', '103.942144427101')"
123,76 BEDOK NTH RD,"('1.3282966654865', '103.942067527916')"
124,501 BEDOK NTH ST 3,"('1.33164071248973', '103.931167665142')"
125,502 BEDOK NTH ST 3,"('1.331245062192', '103.931244293846')"
126,503 BEDOK NTH ST 3,"('1.33148846832741', '103.932465357827')"
127,504 BEDOK NTH ST 3,"('1.33188000305479', '103.932389359044')"
128,2 BEDOK STH AVE 1,"('1.32130118793544', '103.933299574181')"
129,20 CHAI CHEE RD,"('1.32627271243233', '103.922885287154')"
130,21 CHAI CHEE RD,"('1.32577850604228', '103.922424710131')"
131,59 CHAI CHEE RD,"('1.32488916288351', '103.920246728829')"
132,58 CHAI CHEE DR,"('1.32591889491418', '103.919756859417')"
133,55 CHAI CHEE DR,"('1.32684846948333', '103.919015573079')"
134,22 BEDOK STH AVE 1,"('1.3228317365472', '103.932852166088')"
135,105 BEDOK NTH AVE 4,"('1.33372280929', '103.936517719048')"
136,104 BEDOK NTH AVE 4,"('1.3332985212474', '103.936601473643')"
137,107 BEDOK NTH RD,"('1.33231740745783', '103.936301267285')"
138,110 BEDOK NTH RD,"('1.33247206352435', '103.934860475522')"
139,69 BEDOK STH AVE 3,"('1.31935026360524', '103.943632360195')"
140,33 BEDOK STH AVE 2,"('1.3228412425757', '103.939128684332')"
141,46 BEDOK STH AVE 3,"('1.32260015341749', '103.939792702958')"
142,117 BEDOK NTH RD,"('1.33065454769523', '103.938496275607')"
143,116 BEDOK NTH RD,"('1.33100823526591', '103.938066838998')"
144,115 BEDOK NTH RD,"('1.33143368792839', '103.93686541135')"
145,125 BEDOK NTH RD,"('1.32884321524242', '103.939123687022')"
146,124 BEDOK NTH RD,"('1.32925881944574', '103.939046430321')"
147,128 BEDOK NTH ST 2,"('1.327740236451', '103.939005696963')"
148,129 BEDOK NTH ST 2,"('1.32755443192195', '103.938030484223')"
149,138 BEDOK NTH ST 2,"('1.33001011188999', '103.936343483972')"
150,87 BEDOK NTH ST 4,"('1.33250261426447', '103.938587125421')"
151,100 BEDOK NTH AVE 4,"('1.3343559340081', '103.939032711241')"
152,412 BEDOK NTH AVE 2,"('1.32929126082802', '103.931090689284')"
153,402 BEDOK NTH AVE 3,"('1.33055472908632', '103.933686723902')"
154,401 BEDOK NTH AVE 3,"('1.33098173461878', '103.933604621756')"
155,425 BEDOK NTH RD,"('1.32936960154503', '103.929067536324')"
156,416 BEDOK NTH AVE 2,"('1.32839984517259', '103.930682461317')"
157,418 BEDOK NTH AVE 2,"('1.32856421177174', '103.930036524233')"
158,424 BEDOK NTH AVE 1,"('1.32842000962637', '103.927482677521')"
159,419 BEDOK NTH ST 1,"('1.32697958373998', '103.92813074959')"
160,136 BEDOK NTH AVE 3,"('1.32815498828204', '103.93522082327')"
161,529 BEDOK NTH ST 3,"('1.33426946144275', '103.926542284602')"
162,510 BEDOK NTH ST 3,"('1.33212313291916', '103.93105149637')"
163,525 BEDOK NTH ST 3,"('1.3347035219436', '103.929040927901')"
164,202 BEDOK NTH ST 1,"('1.32565628436985', '103.927990975389')"
165,218 BEDOK NTH ST 1,"('1.32735657259634', '103.933767796194')"
166,213 BEDOK NTH ST 1,"('1.32633302564898', '103.932636597017')"
167,532 BEDOK NTH ST 3,"('1.33419173917878', '103.925386600613')"
168,533 BEDOK NTH ST 3,"('1.33358016248275', '103.92421866691')"
169,536 BEDOK NTH ST 3,"('1.3335411894605', '103.923190774432')"
170,537 BEDOK NTH ST 3,"('1.33177300757048', '103.924236461237')"
171,44 CHAI CHEE ST,"('1.32901430131171', '103.925667777871')"
172,540 BEDOK NTH ST 3,"('1.33112972920094', '103.922092625931')"
173,702 BEDOK RESERVOIR RD,"('1.33723650407652', '103.918924437798')"
174,615 BEDOK RESERVOIR RD,"('1.33224981185032', '103.915868711978')"
175,712 BEDOK RESERVOIR RD,"('1.33590729186163', '103.922634043137')"
176,50 CHAI CHEE ST,"('1.32930431416537', '103.922415807329')"
177,54 CHAI CHEE ST,"('1.32947840879761', '103.921105111921')"
178,606 BEDOK RESERVOIR RD,"('1.33122227931301', '103.913799873642')"
179,616 BEDOK RESERVOIR RD,"('1.33182713238417', '103.914991045591')"
180,15 BEDOK STH RD,"('1.32098222626197', '103.935956640703')"
181,34 BEDOK STH AVE 2,"('1.32205652925918', '103.93835472666')"
182,36 BEDOK STH AVE 2,"('1.32163299655185', '103.938441289401')"
183,35 BEDOK STH AVE 2,"('1.32233220742919', '103.939766219283')"
184,41 BEDOK STH RD,"('1.32105071817917', '103.94080318215')"
185,42 BEDOK STH RD,"('1.32147847826862', '103.940721046918')"
186,53 NEW UPP CHANGI RD,"('1.32432684067535', '103.942429994179')"
187,51 NEW UPP CHANGI RD,"('1.32342985805207', '103.942269407116')"
188,8 BEDOK STH AVE 2,"('1.32284176978435', '103.936046815062')"
189,718 BEDOK RESERVOIR RD,"('1.33663363411169', '103.925744921529')"
190,724 BEDOK RESERVOIR RD,"('1.33714403979137', '103.928433830286')"
191,166 BEDOK STH AVE 3,"('1.32004079860245', '103.945196685812')"
192,71 BEDOK STH RD,"('1.32041601736618', '103.942732310081')"
193,82 BEDOK NTH RD,"('1.32953680475668', '103.940406562732')"
194,78 BEDOK NTH RD,"('1.32726007220341', '103.940848770214')"
195,79 BEDOK NTH RD,"('1.32769194470055', '103.940763685492')"
196,80 BEDOK NTH RD,"('1.32848132017235', '103.940611608837')"
197,134 BEDOK NTH ST 2,"('1.32832133313255', '103.93658216345')"
198,126 BEDOK NTH ST 2,"('1.3281683000397', '103.938917890645')"
199,130 BEDOK NTH ST 2,"('1.32716150771949', '103.936824833587')"
200,132 BEDOK NTH ST 2,"('1.32775288998395', '103.936709340476')"
201,131 BEDOK NTH AVE 3,"('1.3269699402053', '103.93585007622')"
202,133 BEDOK NTH AVE 3,"('1.32754842669276', '103.935739668534')"
203,121 BEDOK NTH RD,"('1.32964201790706', '103.938821071117')"
204,89 BEDOK NTH ST 4,"('1.33295683726302', '103.938220862136')"
205,62 NEW UPP CHANGI RD,"('1.32332667400534', '103.940030188552')"
206,422 BEDOK NTH RD,"('1.32868929343533', '103.928893754255')"
207,427 BEDOK NTH RD,"('1.32910888380153', '103.92773420389')"
208,507 BEDOK NTH AVE 3,"('1.33298071677208', '103.93259903289')"
209,508 BEDOK NTH AVE 3,"('1.33340012199511', '103.932519441614')"
