,Expressways,Coordinates
0,Ayer Rajah Expressway (AYE),"('1.30681142611077', '103.766788157126')"
1,Bukit Timah Expressway (BKE),"('1.3516043109373', '103.790690160748')"
2,Central Expressway (CTE),"('1.33611038414411', '103.861522370266')"
3,East Coast Parkway (ECP),"('1.29773431957503', '103.901376105637')"
4,Kranji Expressway (KJE),"('1.38941421590442', '103.757616894568')"
5,Pan Island Expressway (PIE),"('1.33950285212927', '103.973015308557')"
6,Kallang-Paya Lebar Expressway,"('1.33865544205493', '103.896820289963')"
7,Marina Coastal Expressway (MCE),"('1.27232358395288', '103.853725438914')"
8,Seletar Expressway SLE,"('1.40612642204136', '103.809374777026')"
9,Tampines Expressway TPE,"('1.3826380698652', '103.917115282728')"
